# Region      : all 
# Cells       : 298902
# Volume      : 2.872800e-05
# Time        	max(T)
908           	3.095017e+02
909           	3.095021e+02
910           	3.095025e+02
911           	3.095028e+02
912           	3.095032e+02
913           	3.095036e+02
914           	3.095040e+02
915           	3.095044e+02
916           	3.095047e+02
917           	3.095051e+02
918           	3.095055e+02
919           	3.095058e+02
920           	3.095062e+02
921           	3.095065e+02
922           	3.095069e+02
923           	3.095072e+02
924           	3.095075e+02
925           	3.095079e+02
926           	3.095082e+02
927           	3.095085e+02
928           	3.095088e+02
929           	3.095091e+02
930           	3.095094e+02
931           	3.095097e+02
932           	3.095100e+02
933           	3.095103e+02
934           	3.095106e+02
935           	3.095109e+02
936           	3.095112e+02
937           	3.095114e+02
938           	3.095117e+02
939           	3.095119e+02
940           	3.095122e+02
941           	3.095125e+02
942           	3.095127e+02
943           	3.095129e+02
944           	3.095132e+02
945           	3.095134e+02
946           	3.095136e+02
947           	3.095139e+02
948           	3.095141e+02
949           	3.095143e+02
950           	3.095145e+02
951           	3.095147e+02
952           	3.095149e+02
953           	3.095151e+02
954           	3.095153e+02
955           	3.095155e+02
956           	3.095156e+02
957           	3.095158e+02
958           	3.095160e+02
959           	3.095162e+02
960           	3.095163e+02
961           	3.095165e+02
962           	3.095167e+02
963           	3.095168e+02
964           	3.095170e+02
965           	3.095171e+02
966           	3.095173e+02
967           	3.095174e+02
968           	3.095176e+02
969           	3.095178e+02
970           	3.095179e+02
971           	3.095181e+02
972           	3.095182e+02
973           	3.095184e+02
974           	3.095185e+02
975           	3.095187e+02
976           	3.095188e+02
977           	3.095190e+02
978           	3.095191e+02
979           	3.095193e+02
980           	3.095194e+02
981           	3.095196e+02
982           	3.095197e+02
983           	3.095199e+02
984           	3.095201e+02
985           	3.095202e+02
986           	3.095204e+02
987           	3.095205e+02
988           	3.095207e+02
989           	3.095209e+02
990           	3.095210e+02
991           	3.095212e+02
992           	3.095213e+02
993           	3.095215e+02
994           	3.095217e+02
995           	3.095218e+02
996           	3.095220e+02
997           	3.095222e+02
998           	3.095223e+02
999           	3.095225e+02
1000          	3.095227e+02
1001          	3.095229e+02
1002          	3.095230e+02
1003          	3.095232e+02
1004          	3.095234e+02
1005          	3.095236e+02
1006          	3.095238e+02
1007          	3.095239e+02
1008          	3.095241e+02
1009          	3.095243e+02
1010          	3.095245e+02
1011          	3.095247e+02
1012          	3.095249e+02
1013          	3.095251e+02
1014          	3.095253e+02
1015          	3.095255e+02
1016          	3.095257e+02
1017          	3.095259e+02
1018          	3.095261e+02
1019          	3.095263e+02
1020          	3.095265e+02
1021          	3.095267e+02
1022          	3.095269e+02
1023          	3.095271e+02
1024          	3.095273e+02
1025          	3.095275e+02
1026          	3.095278e+02
1027          	3.095280e+02
1028          	3.095282e+02
1029          	3.095284e+02
1030          	3.095287e+02
1031          	3.095289e+02
1032          	3.095291e+02
1033          	3.095293e+02
1034          	3.095296e+02
1035          	3.095298e+02
1036          	3.095300e+02
1037          	3.095303e+02
1038          	3.095305e+02
1039          	3.095308e+02
1040          	3.095310e+02
1041          	3.095313e+02
1042          	3.095315e+02
1043          	3.095318e+02
1044          	3.095320e+02
1045          	3.095323e+02
1046          	3.095325e+02
1047          	3.095328e+02
1048          	3.095330e+02
1049          	3.095333e+02
1050          	3.095336e+02
1051          	3.095338e+02
1052          	3.095341e+02
1053          	3.095344e+02
1054          	3.095346e+02
1055          	3.095349e+02
1056          	3.095352e+02
1057          	3.095354e+02
1058          	3.095357e+02
1059          	3.095360e+02
1060          	3.095363e+02
1061          	3.095365e+02
1062          	3.095368e+02
1063          	3.095371e+02
1064          	3.095374e+02
1065          	3.095376e+02
1066          	3.095379e+02
1067          	3.095382e+02
1068          	3.095385e+02
1069          	3.095387e+02
1070          	3.095390e+02
1071          	3.095393e+02
1072          	3.095395e+02
1073          	3.095398e+02
1074          	3.095401e+02
1075          	3.095403e+02
1076          	3.095406e+02
1077          	3.095409e+02
1078          	3.095411e+02
1079          	3.095414e+02
1080          	3.095416e+02
1081          	3.095419e+02
1082          	3.095421e+02
1083          	3.095424e+02
1084          	3.095426e+02
1085          	3.095429e+02
1086          	3.095431e+02
1087          	3.095434e+02
1088          	3.095436e+02
1089          	3.095438e+02
1090          	3.095441e+02
1091          	3.095443e+02
1092          	3.095445e+02
1093          	3.095448e+02
1094          	3.095450e+02
1095          	3.095452e+02
1096          	3.095454e+02
1097          	3.095457e+02
1098          	3.095459e+02
1099          	3.095461e+02
1100          	3.095463e+02
1101          	3.095465e+02
1102          	3.095467e+02
1103          	3.095469e+02
1104          	3.095471e+02
1105          	3.095473e+02
1106          	3.095475e+02
1107          	3.095477e+02
1108          	3.095479e+02
1109          	3.095481e+02
1110          	3.095483e+02
1111          	3.095485e+02
1112          	3.095487e+02
1113          	3.095488e+02
1114          	3.095490e+02
1115          	3.095491e+02
1116          	3.095493e+02
1117          	3.095494e+02
1118          	3.095496e+02
1119          	3.095497e+02
1120          	3.095499e+02
1121          	3.095500e+02
1122          	3.095501e+02
1123          	3.095502e+02
1124          	3.095503e+02
1125          	3.095504e+02
1126          	3.095505e+02
1127          	3.095506e+02
1128          	3.095506e+02
1129          	3.095507e+02
1130          	3.095508e+02
1131          	3.095508e+02
1132          	3.095508e+02
1133          	3.095509e+02
1134          	3.095509e+02
1135          	3.095509e+02
1136          	3.095509e+02
1137          	3.095509e+02
1138          	3.095509e+02
1139          	3.095509e+02
1140          	3.095509e+02
1141          	3.095509e+02
1142          	3.095508e+02
1143          	3.095508e+02
1144          	3.095507e+02
1145          	3.095507e+02
1146          	3.095506e+02
1147          	3.095506e+02
1148          	3.095505e+02
1149          	3.095504e+02
1150          	3.095504e+02
1151          	3.095503e+02
1152          	3.095502e+02
1153          	3.095501e+02
1154          	3.095500e+02
1155          	3.095499e+02
